"Name","Distance (LY)","Controlling Faction","Needs Permit","Bodies","Colonised","Economy","Stations","X","Y","Z","Controlling Faction State","Allegiance"
"WISE 1741+2553","17.9837980467837","Vega Independents","False","8","True","Industrial","9","-12.40625","7.90625","10.34375","Boom","Federation"
"Wolf 630","18.6931952023992","Hutton Orbital Truckers Co-Operative","False","5","True","Extraction","3","-3.46875","6.5625","17.15625","Outbreak","Independent"
"LHS 1827","18.7699373167573","Hutton Orbital Truckers Co-Operative","False","12","True","Industrial","10","13.40625","-5.8125","-11.78125","Boom","Independent"
"Sigma Draconis","18.794374573925","Earth Defense Fleet","False","2","True","Military","8","-17.09375","7.0","-3.46875","Expansion","Federation"
"KX Librae","19.0325841075903","Wolf 1481 Resistance","False","2","True","Military","3","5.8125","10.125","15.03125","None","Federation"
"WISE 0359-5401","19.1918002103112","Sirius Corporation","False","9","True","Industrial","10","13.125","-13.9375","-1.34375","Investment","Independent"
"QY Aurigae","19.8327479342879","Earth Defense Fleet","False","1","True","Military","6","-0.375","6.71875","-18.65625","Expansion","Federation"
"LHS 1723","20.0146674731933","Earth Defense Fleet","False","1","True","High Tech","3","7.875","-9.25","-15.90625","Expansion","Federation"
"LHS 455","20.0514475007417","Revolutionary Party of LP 336-6","False","2","True","Tourism","4","-16.90625","10.21875","-3.4375","None","Federation"
"LTT 7072","20.1578245509033","Hutton Orbital Truckers Co-Operative","False","28","True","Extraction","11","0.78125","-0.84375","20.125","Boom","Independent"
"Jastreb Sector CL-Y d145","20.2104407191555","Vega Independents","False","10","True","Industrial","10","-18.0","8.84375","2.5","Boom","Federation"
"LHS 3003","20.2368302081872","Sol Workers' Party","False","1","True","Military","4","7.90625","9.21875","16.1875","Election","Federation"
"WISE 0146+4234","20.525351131284","Earth Defense Fleet","False","10","True","High Tech","5","-14.0","-6.75","-13.40625","Expansion","Federation"
"2MASS 1503+2525","20.695428994104","LHS 2541 Alliance Combine","False","8","True","Industrial","6","-6.1875","18.0","8.125","Boom","Alliance"
"LP 378-541","20.8846815124148","Remlok Industries","False","12","True","Industrial","5","1.1875","20.71875","2.34375","None","Alliance"
"LP 658-2","21.0800418420481","LHS 1918 Major Exchange","False","1","True","Tourism","3","10.25","-5.25","-17.65625","Boom","Federation"
"G 202-48","21.2456107599311","Vega Independents","False","1","True","Military","3","-15.53125","14.375","1.875","Election","Federation"
"GL Virginis","21.3182955829611","Earth Defense Fleet","False","2","True","Military","5","6.4375","20.3125","0.65625","Expansion","Federation"
"Terravor","21.8936973664797","EG Union","False","2","True","Service","3","10.40625","-18.90625","3.6875","None","Independent"
"LHS 35","22.0406451598518","Green Party of Luyten's Star","False","17","True","Military","18","11.4375","8.1875","-16.96875","None","Federation"
"Cuspoor","22.2677246817002","Green Party of Bhritzameno","False","3","True","Industrial","5","3.0","0.3125","22.0625","None","Federation"
"WISE 0713-2917","23.193437582105","Star Pilots","False","8","True","Military","19","20.15625","-3.46875","-10.9375","None","Independent"
"LHS 337","23.4382499880004","Guy Exchange","False","13","True","Extraction","5","18.4375","9.6875","10.75","Boom","Federation"
"LHS 546","23.5646136319907","Future of EZ Aquarii","False","3","True","Military","5","-11.96875","-20.25","1.40625","None","Federation"
"LP 71-165","23.7711049319862","Vega Independents","False","5","True","Military","4","-20.90625","11.09375","-2.21875","Boom","Federation"
"LHS 3405","23.9795852302015","Elite Rebel Force","False","3","True","Industrial","2","-18.96875","5.4375","13.625","None","Federation"
"WISE J004945","24.1345714497378","George Pantazis Democrats","False","7","True","Extraction","12","-15.375","-15.84375","-9.75","Boom","Federation"
"WISE J0254+0223","24.2152820097661","Hutton Orbital Truckers Co-Operative","False","1","True","Service","4","-2.03125","-18.0625","-16.0","None","Independent"
"LHS 3799","24.3394171368687","Future of EZ Aquarii","False","2","True","High Tech","1","-9.1875","-19.84375","10.6875","Boom","Federation"
"Ross 556","24.5205191497856","Hutton Orbital Truckers Co-Operative","False","8","True","Extraction","10","-9.5625","-12.34375","-18.90625","None","Independent"
"LHS 1070","24.5692182288122","Workers of LAWD 96 Resistance","False","1","True","Military","14","-1.34375","-24.4375","2.15625","Investment","Federation"
"LHS 1805","24.7031398244737","Federal Delta Division","False","2","True","Military","4","-10.34375","7.28125","-21.21875","None","Federation"
"LP 771-95","24.9210276109855","Earth Defense Fleet","False","2","True","Military","1","4.59375","-21.15625","-12.34375","Expansion","Federation"
"AN Sextantis","25.6651743004991","Earth Defense Fleet","False","8","True","High Tech","4","17.71875","16.84375","-7.8125","Expansion","Federation"
"V1201 Orionis","26.0706859146916","Earth Defense Fleet","False","1","True","Tourism","9","9.5","-4.40625","-23.875","Expansion","Federation"
"LHS 3558","26.1024311906477","C.O.N.T.R.A.I.L","False","2","True","High Tech","4","-24.8125","6.78125","-4.4375","Expansion","Independent"
"LHS 222","26.1298963713024","Earth Defense Fleet","False","2","True","Military","4","24.03125","-7.78125","-6.6875","Expansion","Federation"
"LP 229-17","26.314262856624","The Dark Wheel","False","10","True","Industrial","3","-23.03125","9.03125","8.96875","Boom","Independent"
"WISE 2220-3628","26.3939875374109","Izumo Heavy Industries Ltd","False","1","True","Service","6","-1.78125","-22.125","14.28125","Expansion","Federation"
"P Eridani","26.5622242632747","Lu Yupik Creative Network","False","2","True","Military","5","12.625","-22.96875","4.3125","Boom","Federation"
"LAWD 49","26.6603711644268","Ross 490 Network","False","3","True","High Tech","3","5.84375","24.0","10.03125","None","Federation"
"Core Sys Sector MC-V b2-7","26.7260589418362","Star Pilots","False","2","True","Military","4","22.5","-5.625","13.28125","None","Independent"
"LHS 316","26.7859352669456","Earth Defense Fleet","False","1","True","Industrial","4","-5.875","24.40625","-9.34375","Expansion","Federation"
"LHS 465","26.8829385077692","Blood Brothers from Alrai","False","4","True","Military","2","-23.9375","12.21875","-0.625","None","Federation"
"Wolf 922","27.0652784370492","Carener Electronics Inc","False","2","True","Military","1","-14.3125","-17.53125","14.84375","None","Federation"
"LHS 1846","27.1840515054324","Adnovi Security Holdings","False","2","True","Military","5","4.25","2.3125","-26.75","Boom","Federation"
"LHS 2447","27.3736622104624","Hutton Orbital Truckers Co-Operative","False","3","True","Service","3","24.96875","4.5625","10.25","None","Independent"
"Yin Sector GW-W c1-26","27.4756461764323","Minutemen","False","6","True","Industrial","11","19.125","15.4375","-12.28125","Election","Federation"
"Chara","27.511414534471","Terran Colonial Forces","False","1","True","Military","4","-4.84375","26.65625","-4.78125","Expansion","Alliance"
"LHS 1375","27.6131903489981","FrogCorp","False","1","True","Military","4","-9.125","-19.3125","-17.5","Election","Federation"
"LHS 415","27.6206338461394","The Dark Wheel","False","2","True","Military","3","8.125","4.0","26.09375","None","Independent"
"CD Ceti","27.6377586487219","Earth Defense Fleet","False","1","True","High Tech","2","-1.625","-18.90625","-20.09375","Expansion","Federation"
"LP 467-16","27.6609459290079","Marine Forces Special Operations Command","False","1","True","Military","1","-14.40625","-20.28125","-12.09375","None","Federation"
"WISE 1647+5632","27.9876158438871","Blood Brothers from Alrai","False","2","True","Military","3","-21.59375","17.71875","1.75","Expansion","Federation"
"WISE 0647-6232","27.993110899157","Down Under Squadron","False","1","True","Military","3","25.46875","-11.5625","1.125","None","Federation"
"G 148-13","28.0020576810884","Groombridge 1618 Inc","False","2","True","Military","3","-0.40625","27.09375","-7.0625","None","Federation"
"WISE 0313+7807","28.0290899390704","Blood Brothers from Alrai","False","14","True","High Tech","19","-20.46875","8.3125","-17.25","Expansion","Federation"
"Gl 867 B","28.2749647711982","Workers of Fomalhaut Liberals","False","11","True","Industrial","2","-8.9375","-24.25","11.46875","None","Federation"
"L 32-8","28.3230526691598","Star Pilots","False","1","True","Military","2","24.0625","-13.0625","7.25","None","Independent"
"HU Delphinus","28.5679015680186","Sirius Special Forces","False","3","True","Military","4","-22.0","-8.25","16.25","Boom","Federation"
"41 G. Arae","28.6956687716108","Sol Workers' Party","False","2","True","High Tech","1","8.5","-2.9375","27.25","Boom","Federation"
"Core Sys Sector OI-T b3-6","28.9909401257531","Elite Rebel Force","False","2","True","High Tech","2","-19.71875","-10.0625","18.71875","None","Federation"
"LHS 253","29.0303922101476","LHS 2166 Crimson Netcoms Ind","False","6","True","Tourism","4","27.84375","2.8125","-7.71875","Boom","Federation"
"SZ Ursae Majoris","29.0821338249534","Earth Defense Fleet","False","9","True","Industrial","9","-13.0625","21.96875","-13.875","Expansion","Federation"
"LHS 1326","29.1361466062776","FrogCorp","False","1","True","Military","1","-9.625","-21.90625","-16.625","None","Federation"
"Tascheter Sector ST-R b4-8","29.3791885311695","Earth Defense Fleet","False","1","True","Military","2","15.1875","-7.3125","-24.0625","Expansion","Federation"
"L 32-9","29.3955712544424","The Dark Wheel","False","1","True","Military","1","24.96875","-13.5625","7.53125","Outbreak","Independent"
"LP 823-4","29.4137543559556","Workers of Fomalhaut Liberals","False","2","True","Military","2","-8.625","-27.84375","3.9375","War","Federation"
"V388 Cassiopeiae","29.4365876981776","Blood Brothers from Alrai","False","4","True","Industrial","5","-24.3125","-0.25","-16.59375","Expansion","Federation"
"Core Sys Sector VO-R a4-1","29.6048520622043","Falcons' Nest","False","11","True","Industrial","1","-0.59375","-29.25","-4.53125","Expansion","Federation"
"Beurex","29.6361233073339","Terran Colonial Forces","False","2","True","Military","2","-1.65625","28.53125","-7.84375","Expansion","Alliance"
"SDSS J1416+1348","29.6973832233162","Nobles of Dagr","False","15","True","Refinery","16","-0.6875","27.15625","12.0","None","Alliance"
"LHS 149","29.846122287912","Hutton Orbital Truckers Co-Operative","False","11","True","Industrial","12","1.375","-28.03125","-10.15625","None","Independent"
"LHS 1731","30.0462371552163","Earth Defense Fleet","False","11","True","Industrial","24","15.71875","-15.46875","-20.40625","Expansion","Federation"
"Tascheter Sector LD-J a9-2","30.0958267715393","Earth Defense Fleet","False","11","True","Industrial","29","0.5625","-26.46875","-14.3125","Expansion","Federation"
"Core Sys Sector CL-Y c24","30.1430994642638","Blood Brothers from Alrai","False","1","True","Military","2","-28.0","8.09375","7.6875","Expansion","Federation"
"Gamma Pavonis","30.2097646931005","United Mombaluma Resistance","False","1","True","Military","9","12.03125","-19.75","19.4375","Boom","Federation"
"LHS 203","30.2613292317935","Earth Defense Fleet","False","2","True","Industrial","1","16.46875","-15.1875","-20.34375","Expansion","Federation"
"Core Sys Sector YU-P a5-3","30.2694120307531","Workers of Fomalhaut Liberals","False","7","True","Extraction","12","-14.90625","-25.40625","6.96875","None","Federation"
"Core Sys Sector ZU-P a5-1","30.2723477626447","Movement for HIP 7670 Unionists","False","10","True","Military","11","-0.25","-27.15625","13.375","War","Independent"
"Core Sys Sector DL-Y d118","30.448053868433","EG Union","False","3","True","Military","4","25.09375","-5.3125","16.40625","Boom","Independent"
"Core Sys Sector YU-P a5-2","30.6698014136055","Workers of Fomalhaut Liberals","False","5","True","High Tech","6","-14.4375","-26.3125","6.3125","Boom","Federation"
"BD-17 588","30.7483167730365","Earth Defense Fleet","False","1","True","Military","1","5.78125","-25.9375","-15.46875","Expansion","Federation"
"Austern","30.9218078890126","Independents of LP 336-4","False","2","True","Military","5","-25.15625","15.34375","9.375","Election","Federation"
"Core Sys Sector PI-T b3-7","31.1117253318584","Earth Defense Fleet","False","1","True","Military","3","11.78125","-16.28125","23.75","Expansion","Federation"
"LHS 183","31.1142520348393","Earth Defense Fleet","False","1","True","Military","3","5.90625","-21.03125","-22.15625","Expansion","Federation"
"Core Sys Sector IR-W c1-25","31.1222545224876","Earth Defense Fleet","False","4","True","Service","1","16.53125","-13.75","22.5","Expansion","Federation"
"LHS 3255","31.2279609785045","Green Party of Bhritzameno","False","1","True","Military","2","-7.40625","12.1875","27.78125","None","Federation"
"LHS 102","31.3143244228979","Earth Defense Fleet","False","3","True","Industrial","2","3.75","-30.0","8.15625","Expansion","Federation"
"LHS 1610","31.3938408320406","Earth Defense Fleet","False","11","True","Industrial","15","-3.34375","-14.59375","-27.59375","Expansion","Federation"
"Core Sys Sector VO-R a4-0","31.5025110606282","Black Sails Sq.69","False","11","True","Industrial","2","0.125","-31.15625","-4.65625","Boom","Federation"
"LHS 2149","31.5103839531511","Aetas Eternum","False","10","True","Industrial","2","20.8125","18.21875","-15.09375","Election","Federation"
"Core Sys Sector EB-O a6-4","31.6043039988227","Jet Electronics Commodities","False","9","True","Industrial","3","5.5625","-25.375","18.0","None","Federation"
"Tascheter Sector CL-Y d127","31.6223751381043","Earth Defense Fleet","False","2","True","High Tech","2","7.8125","12.65625","-27.90625","Expansion","Federation"
"LTT 6988","31.692091629853","Arbor Caelum Internal Defense","False","9","True","Extraction","15","9.46875","-5.09375","29.8125","None","Independent"
"Puppis Sector DL-Y d142","31.7789453441662","Minutemen","False","1","True","Military","2","27.71875","-15.21875","-3.15625","Expansion","Federation"
"12 Ophiuchi","31.7885776950621","Nobles of Dagr","False","3","True","High Tech","1","-6.84375","14.8125","27.28125","None","Alliance"
"LFT 215","31.89161637974","Sirius Corporation","False","3","True","Service","1","-13.25","-17.09375","-23.4375","Civil Unrest","Independent"
"Core Sys Sector ZU-P a5-2","31.9863709990286","Izumo Heavy Industries Ltd","False","7","True","Industrial","2","-4.65625","-28.78125","13.15625","Expansion","Federation"
"Marcov's Point","32.013699460153","Nobles of Dagr","False","1","True","Military","1","-22.34375","14.625","17.65625","None","Alliance"
"LHS 495","32.1030293303841","VX9 Defense Corp.","False","2","True","Military","2","-26.78125","-8.71875","15.40625","None","Federation"
"Jastreb Sector GH-M a7-0","32.2287054211769","Origin Systems United","False","1","True","Service","2","-17.53125","-26.28125","-6.375","None","Federation"
"AU Microscopii","32.328831100312","Hutton Orbital Truckers Co-Operative","False","15","True","Industrial","3","-5.8125","-19.65625","25.0","None","Independent"
"Core Sys Sector ON-T b3-7","32.3449577069209","Lost Legion","False","10","True","Industrial","7","21.65625","-3.625","23.75","None","Independent"
"Core Sys Sector TO-R a4-0","32.3501050519933","Hoko Vision Corp.","False","9","True","Service","1","-16.4375","-27.84375","1.03125","None","Federation"
"LFT 65","32.3885257701319","Earth Defense Fleet","False","23","True","Extraction","42","-2.96875","-32.25","-0.375","Expansion","Federation"
"Core Sys Sector YU-P a5-1","32.4157712628051","Izumo Heavy Industries Ltd","False","2","True","Service","3","-6.875","-31.28125","5.0","Expansion","Federation"
"Core Sys Sector WO-R a4-3","32.5019981356916","Elite Fleet Republican Consortium","False","7","True","Industrial","5","12.5","-29.9375","1.96875","None","Independent"
"LHS 252","32.5664734859717","Earth Defense Fleet","False","3","True","Military","6","-10.09375","19.5625","-24.0","Expansion","Federation"
"Veren's Stop","32.5905439458672","Elite Fleet Republican Consortium","False","14","True","Extraction","12","-12.96875","21.96875","20.28125","Outbreak","Independent"
"LHS 1302","32.6414140940998","Hutton Orbital Truckers Co-Operative","False","11","True","Industrial","1","-4.875","-29.5","-13.09375","None","Independent"
"Lorana","32.642640704874","Earth Defense Fleet","False","4","True","High Tech","4","-24.78125","1.09375","-21.21875","Expansion","Federation"
"Apan","32.6521378989952","Earth Defense Fleet","False","2","True","Military","6","-4.53125","-7.03125","-31.5625","Expansion","Federation"
"LFT 1061","32.6782670994807","The Dark Wheel","False","21","True","High Tech","8","7.59375","26.875","16.96875","Boom","Independent"
"Core Sys Sector UO-R a4-1","32.772922560019","Izumo Heavy Industries Ltd","False","6","True","Industrial","4","-11.75","-30.59375","0.15625","Expansion","Federation"
"Tascheter Sector GX-K a8-1","32.782828846631","Hutton Orbital Truckers Co-Operative","False","10","True","Industrial","8","-12.53125","-25.78125","-15.90625","Bust","Independent"
"Jastreb Sector PT-R b4-7","32.7956951014535","Equestrian Naval Fleet","False","11","True","Industrial","44","-32.15625","6.15625","1.90625","Expansion","Independent"
"DX 1217","32.9953979982436","New Pilots Initiative","False","2","True","Service","1","7.5","32.125","-0.65625","Expansion","Independent"
"Wolf 1062","33.0911826199594","Aurora Australis Axiom","False","1","True","Military","1","-20.46875","-2.21875","25.90625","None","Independent"
"Jastreb Sector PT-R b4-8","33.1087814069017","Elite Rebel Force","False","3","True","Military","1","-32.25","7.0625","2.5","None","Federation"
"Ross 52","33.1436415706316","New Pilots Initiative","False","2","True","Military","2","-8.4375","29.15625","13.3125","Expansion","Independent"
"LHS 476","33.1560290991699","Elite Rebel Force","False","8","True","High Tech","24","-27.09375","1.75","19.03125","None","Federation"
"Core Sys Sector ON-T b3-3","33.1592541051891","Hutton Orbital Truckers Co-Operative","False","2","True","Military","4","24.46875","12.5","18.5625","None","Independent"
"LHS 273","33.274676580885","Minutemen","False","2","True","High Tech","1","28.5625","14.5625","-8.90625","Expansion","Federation"
"Core Sys Sector WO-R a4-1","33.2993788652656","Black Sails Sq.69","False","1","True","Military","1","10.4375","-31.28125","4.625","None","Federation"
"DP Draconis","33.3169116450265","Blue Nemesis","False","2","True","Military","4","-17.5","25.96875","-11.375","None","Federation"
"Caer Sidi","33.3812903716288","The Dark Wheel","False","2","True","High Tech","3","15.3125","22.59375","19.21875","None","Independent"
"Wolf 1340","33.4203080803798","TL Armoured Transport Company","False","13","True","Industrial","3","-22.34375","-21.78125","11.96875","Boom","Federation"
"Core Sys Sector ZU-P a5-0","33.544163985707","Partnership of Stopover","False","8","True","Industrial","2","-3.5625","-32.625","6.9375","None","Federation"
"Core Sys Sector CB-O a6-5","33.6803969784354","TL Armoured Transport Company","False","11","True","Extraction","2","-7.25","-26.78125","19.09375","None","Federation"
"Dethall","33.8626880301166","Minutemen","False","7","True","Industrial","3","19.625","21.15625","17.71875","Expansion","Federation"
"Gweir","33.9553935332813","Aetas Eternum","False","2","True","Military","1","3.125","31.75","-11.625","None","Federation"
"V546 Persei","34.0276341054223","Tharsis Corporation","False","20","True","High Tech","2","-10.46875","-3.5","-32.1875","None","Federation"
"Jastreb Sector IH-M a7-1","34.1676416273497","Hutton Orbital Truckers Co-Operative","False","8","True","High Tech","13","-2.03125","-32.1875","-11.28125","None","Independent"
"Pyredi","34.2207619271547","Gold Legal Solutions","False","6","True","Industrial","10","-25.65625","-10.5625","20.03125","Boom","Federation"
"LP 271-25","34.3087714276539","Terran Colonial Forces","False","2","True","Military","6","-10.46875","31.84375","7.3125","Expansion","Alliance"
"Lylis Helig","34.372457292322","Earth Defense Fleet","False","4","True","Military","3","2.375","-16.4375","-30.09375","Expansion","Federation"
"Core Sys Sector BV-P a5-0","34.4446595325386","Lu Yupik Creative Network","False","1","True","Extraction","3","22.25","-25.4375","6.65625","Boom","Federation"
"LHS 2211","34.4617371605814","Earth Defense Fleet","False","2","True","Military","1","-12.53125","24.28125","-21.0","Expansion","Federation"
"LHS 1935","34.573065744883","Earth Defense Fleet","False","10","True","Military","3","29.125","0.375","-18.625","Expansion","Federation"
"DN Draconis","34.6745189674637","Blood Brothers from Alrai","False","1","True","Military","1","-27.09375","21.625","0.78125","Expansion","Federation"
"Tascheter Sector CL-Y d121","34.7215626673469","Earth Defense Fleet","False","11","True","Military","1","-11.375","-11.0","-30.90625","Expansion","Federation"
"LP 404-33","34.7246422767751","Teaka Elite Altruists Bagging Cooperative","False","9","True","Industrial","1","-24.6875","-22.75","-8.875","None","Independent"
"Core Sys Sector ON-T b3-5","34.7667591107152","Collective of Independent Agents","False","3","True","Military","4","25.0625","13.53125","19.9375","None","Federation"
"LFT 1454","34.8453194713795","Movement for Hyroks Labour","False","5","True","Military","1","-26.9375","2.4375","21.96875","War","Federation"
"Donner","34.8807818907848","Minutemen","False","1","True","Military","2","31.3125","-13.34375","7.625","Expansion","Federation"
"Wolf 635","34.917676621233","Nobles of Dagr","False","6","True","Industrial","4","-8.875","12.09375","31.53125","None","Alliance"
"Zeta Herculis","34.9322027513654","EG Union","False","2","True","Military","1","-21.34375","22.375","16.25","Expansion","Independent"
"LHS 478","35.03125","The Dark Wheel","False","2","True","Military","2","-31.21875","0.75","15.875","None","Independent"
"LFT 764","35.0318493481289","The Dark Wheel","False","5","True","Military","3","29.3125","18.9375","3.0625","Civil Unrest","Independent"
"Core Sys Sector CB-O a6-1","35.0743908090362","Izumo Heavy Industries Ltd","False","11","True","Industrial","3","-6.75","-27.53125","20.65625","Expansion","Federation"
"Delta Trianguli","35.1902613259336","Hutton Orbital Truckers Co-Operative","False","2","True","Military","2","-19.21875","-14.84375","-25.46875","None","Independent"
"LFT 1324","35.2249606325188","LEGION'S ARMADA","False","2","True","Military","2","-11.0625","12.3125","31.09375","None","Federation"
"Wolf 1478","35.2674076033737","The Dark Wheel","False","8","True","Industrial","1","9.5","24.15625","23.875","None","Independent"
"Shudun Sector AA-A d142","35.375262256095","Ao Guang Jet Comms Co","False","3","True","Industrial","3","-1.15625","34.53125","-7.59375","None","Alliance"
"WISE 0607+2429","35.4211960951702","Earth Defense Fleet","False","13","True","Industrial","3","3.875","1.21875","-35.1875","Expansion","Federation"
"LHS 523","35.5006739592715","Izumo Heavy Industries Ltd","False","2","True","High Tech","1","-15.53125","-28.75","13.875","Expansion","Federation"
"Elphin","35.5464594755933","Blood Brothers from Alrai","False","2","True","Military","11","-30.125","8.1875","-17.0","Expansion","Federation"
"Core Sys Sector EB-O a6-0","35.5730569787374","EG Union","False","9","True","Agriculture","9","11.53125","-26.6875","20.5","Boom","Independent"
"LHS 470","35.5783411554699","Nobles of Dagr","False","17","True","Extraction","5","-22.53125","0.4375","27.53125","None","Alliance"
"Puppis Sector BW-N a6-0","35.5791096976161","Minutemen","False","11","True","High Tech","1","20.53125","-25.8125","-13.34375","Expansion","Federation"
"Ross 79","35.5908416283248","Earth Defense Fleet","False","2","True","Military","7","11.8125","-2.21875","-33.5","Expansion","Federation"
"LFT 1472","35.6505664839284","Federal Republican Guard","False","3","True","Military","1","-24.15625","-2.21875","26.125","None","Federation"
"LAWD 74","35.7080993525979","Zugen Dynasty","False","2","True","Military","3","-17.4375","-6.53125","30.46875","None","Independent"
"Jastreb Sector IH-M a7-0","35.7659628915887","Hutton Orbital Truckers Co-Operative","False","10","True","Industrial","3","-4.375","-33.03125","-13.0","None","Independent"
"Core Sys Sector BB-O a6-3","35.7898188429685","Independents of Sekhenses","False","2","True","Service","1","-15.25","-27.96875","16.3125","None","Federation"
"BPM 17113","35.8346081410834","LTT 1678 Electronics Organisation","False","12","True","Tourism","8","21.71875","-28.5","-0.40625","None","Federation"
"LHS 543","35.8730536275141","Teaka Elite Altruists Bagging Cooperative","False","11","True","Extraction","4","-27.15625","-23.3125","-2.4375","Boom","Independent"
"Jastreb Sector HH-M a7-2","35.8972328755992","Equestrian Naval Fleet","False","1","True","High Tech","1","-12.59375","-32.09375","-10.0","Expansion","Independent"
"Sin","35.8997491939359","Black Hand of Orion","False","9","True","Industrial","20","23.09375","-20.90625","17.84375","Boom","Independent"
"Core Sys Sector ON-T b3-6","35.9049716917797","Collective of Independent Agents","False","2","True","Military","2","30.46875","2.84375","18.78125","None","Federation"
"Core Sys Sector YU-P a5-0","35.9211783588387","Dagdhangjel Incorporated","False","2","True","Service","1","-12.59375","-32.84375","7.28125","None","Federation"
"Connla","35.9575215966701","Nobles of Dagr","False","2","True","High Tech","2","-29.90625","14.5625","13.65625","Outbreak","Alliance"
"LHS 3461","35.9656275795029","Blood Brothers from Alrai","False","3","True","Military","9","-31.34375","14.71875","-9.71875","Expansion","Federation"
"LHS 1038","35.9739760538782","Blood Brothers from Alrai","False","9","True","High Tech","14","-31.46875","-7.46875","-15.75","Expansion","Federation"
"Jastreb Sector HH-M a7-3","35.9888491845044","Hutton Orbital Truckers Co-Operative","False","7","True","Industrial","3","-9.96875","-32.65625","-11.375","None","Independent"
